sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,peak_intensity_counts,total_power_mW
0,2026-07-01T15:08:59.897198,8.0,8.0,-393.55824947037036,111.77270177286118,-468.5119398808456,867.2694781378959,8.0,7.5895666635653005e-06
1,2026-07-01T15:09:01.339529,8.1,8.0,-354.47441578726284,118.9958827116061,-470.8921094881953,847.5049370963825,8.0,7.670700964516049e-06
2,2026-07-01T15:09:02.331179,8.2,8.1,-357.85728006710997,123.15350282791769,-469.32488236168865,850.4047600086778,8.0,7.66676716446209e-06
3,2026-07-01T15:09:03.292972,8.3,8.2,-358.2041092804866,114.66740688745631,-463.70002901239786,860.6931080931099,8.0,7.634269491354523e-06
4,2026-07-01T15:09:04.214931,8.4,8.3,-354.6610185649479,116.85034444497433,-467.67616414872464,866.6411700510071,8.0,7.639568822197856e-06
5,2026-07-01T15:09:05.145881,8.5,8.5,-365.33320147689665,117.83611101738643,-459.776646560058,851.3251762412256,8.0,7.627365757573741e-06
6,2026-07-01T15:09:06.097712,8.6,8.5,-354.2771837374312,116.4153316404554,-458.5389268700965,870.7936723696184,8.0,7.63977013509141e-06
7,2026-07-01T15:09:07.079308,8.7,8.7,-350.47977784386603,116.35746115876827,-466.3234908488812,868.0336047022138,8.0,7.65938999828505e-06
8,2026-07-01T15:09:08.143062,8.8,8.7,-363.12034448666964,119.54978589346865,-473.54076663643355,874.165907377319,8.0,7.62544320822401e-06
9,2026-07-01T15:09:09.090071,8.9,8.8,-398.21229596360354,113.28993195260409,-462.58946691144956,870.40590077464,8.0,7.524654911473116e-06
10,2026-07-01T15:09:10.041901,9.0,8.9,-405.3437502204906,108.79256880434696,-462.79417881945847,856.8205099410261,8.0,7.510886913541186e-06
11,2026-07-01T15:09:11.294189,9.1,9.1,-400.9625217123539,112.15023777243914,-460.49471294507384,866.9206805407885,8.0,7.52293666242447e-06
12,2026-07-01T15:09:12.355590,9.2,9.1,-406.92987383081345,107.2217985871248,-468.10015400435077,861.3733815104933,8.0,7.495083210272858e-06
13,2026-07-01T15:09:13.377422,9.3,9.2,-402.45101348962635,110.40034463570919,-445.61530664679594,890.3909007940092,8.0,7.501788139314204e-06
14,2026-07-01T15:09:14.409083,9.4,9.3,-408.4041932452237,108.4666044585174,-466.0152419566293,890.3519267961383,8.0,7.488739469849754e-06
15,2026-07-01T15:09:15.421001,9.5,9.5,-419.5885496039409,103.39329223061213,-446.932549039484,874.7316208615666,8.0,7.4733827829427925e-06
16,2026-07-01T15:09:16.422983,9.6,9.6,-414.9963103598566,102.71419984346721,-457.86652698763646,878.8061751844361,8.0,7.468507047874967e-06
17,2026-07-01T15:09:17.405110,9.7,9.7,-416.7666746873874,107.24581286864122,-467.3698836402036,862.6071644329932,8.0,7.479529558883554e-06
18,2026-07-01T15:09:18.479304,9.8,9.8,-403.08128996024607,109.14766522939317,-444.3456991403946,858.8321981139597,8.0,7.504048616381343e-06
19,2026-07-01T15:09:19.430633,9.9,9.8,-396.5722386390553,105.41679070593091,-459.4250932257273,883.2389753463212,8.0,7.5069955081805795e-06
20,2026-07-01T15:09:20.379187,10.0,9.9,-405.6787691314821,107.25132434308762,-449.60600782273104,862.0205860811984,8.0,7.493628413438198e-06
21,2026-07-01T15:09:21.513302,10.1,10.0,-364.4564833631739,116.02992210595403,-469.9020124715753,851.3432853715494,8.0,7.603538995167223e-06
22,2026-07-01T15:09:22.415199,10.2,10.21,-368.9625073998468,117.74005389132071,-458.80111558304634,865.1081928014173,8.0,7.587287089942315e-06
23,2026-07-01T15:09:23.326915,10.3,10.3,-359.93471225665417,117.69793047948042,-464.37951507628895,855.5985373209114,8.0,7.6110428688286385e-06
24,2026-07-01T15:09:24.329067,10.4,10.4,-357.44273845339194,115.45239831932122,-453.7218982039485,855.3398916986771,8.0,7.609391782514916e-06
25,2026-07-01T15:09:25.259840,10.5,10.4,-347.6327076155576,115.60081445262767,-465.43181301880395,861.3796803384321,8.0,7.632392129972665e-06
26,2026-07-01T15:09:26.181307,10.6,10.51,-348.3909290286829,116.8546748891822,-452.64086185896304,862.7016468520742,8.0,7.626447964499286e-06
27,2026-07-01T15:09:27.103491,10.7,10.6,-357.8179123924929,116.25392417452531,-464.3991989135975,871.4790635847021,8.0,7.60787470324874e-06
28,2026-07-01T15:09:28.004854,10.8,10.81,-352.59500300104264,116.26809653738746,-460.8250077351113,870.3496049999376,8.0,7.620789564746398e-06
29,2026-07-01T15:09:29.026447,10.9,10.9,-372.8339245216921,117.5625056787976,-470.44253064406803,878.7427932283026,8.0,7.574162884376043e-06
30,2026-07-01T15:09:29.968097,11.0,11.0,-401.9431704870658,107.0359831629321,-448.399388595717,869.9630144351977,8.0,7.4893643924251684e-06
31,2026-07-01T15:09:31.230429,11.1,11.0,-406.30589618813246,108.28590683202492,-473.59233829018194,867.645045753743,8.0,7.48339358036894e-06
32,2026-07-01T15:09:32.623471,11.2,11.11,-401.43532748450525,107.67885728942929,-462.3178299565916,857.9338277791976,8.0,7.491621125905525e-06
33,2026-07-01T15:09:33.756031,11.3,11.3,-408.5345002482063,105.86636955005815,-445.1712392771151,860.7537343120202,8.0,7.475884226118317e-06
34,2026-07-01T15:09:34.887948,11.4,11.3,-399.70354347809916,109.84644145384664,-467.8308791099698,888.2839428485022,8.0,7.493226912910032e-06
35,2026-07-01T15:09:36.020406,11.5,11.5,-402.1561496067443,107.82687974598957,-468.57610919047147,877.5684554944746,8.0,7.482677139978676e-06
36,2026-07-01T15:09:37.102762,11.6,11.5,-393.3511755018844,108.13867172895698,-456.8803667384782,884.2149000000791,8.0,7.507536226913182e-06
37,2026-07-01T15:09:38.164858,11.7,11.71,-398.81422770849895,109.4185148307588,-449.53514600842027,860.232899976836,8.0,7.49942294656889e-06
38,2026-07-01T15:09:39.235137,11.8,11.71,-407.255838176643,107.72767320595449,-452.73416324780555,858.5487508567167,8.0,7.469333664508036e-06
39,2026-07-01T15:09:40.258103,11.9,11.8,-403.2655306774541,107.8481382902828,-445.7530935079558,869.5626451843418,8.0,7.48245367719438e-06
40,2026-07-01T15:09:41.238676,12.0,11.9,-398.64219097042223,109.78424052795162,-451.10158578143455,864.2980060577975,8.0,7.490969695711501e-06
41,2026-07-01T15:09:42.441289,11.9,11.9,-368.7207898776978,113.93595549307065,-453.6935534782242,886.084470867645,8.0,7.578455214850153e-06
42,2026-07-01T15:09:43.463233,11.8,11.9,-369.7474988317117,114.95597194239963,-475.27491270331666,882.7256208693143,8.0,7.576937648055279e-06
43,2026-07-01T15:09:44.482366,11.7,11.8,-372.89415706385626,112.41715060634306,-462.67646947235335,866.622667243937,8.0,7.570970169799135e-06
44,2026-07-01T15:09:45.473728,11.6,11.71,-366.5134443619172,112.8816891668248,-463.30162814527284,855.878441487439,8.0,7.576757956323405e-06
45,2026-07-01T15:09:46.475470,11.5,11.6,-370.6816937503754,117.58533893007552,-471.21216868283227,845.7849633923615,8.0,7.575799672389586e-06
46,2026-07-01T15:09:47.467314,11.4,11.5,-373.1472912116442,114.95203517493792,-453.1365008823923,844.0323145184084,8.0,7.565313060670277e-06
47,2026-07-01T15:09:48.489420,11.3,11.41,-373.90433159453096,111.59633459057659,-456.8532030429924,867.0572863717098,8.0,7.560350785975166e-06
48,2026-07-01T15:09:49.541674,11.2,11.21,-359.36112523748307,117.96759905060753,-470.898408316134,862.5347279116977,8.0,7.597343692468071e-06
49,2026-07-01T15:09:50.534145,11.1,11.21,-350.89038269012235,113.12261933548143,-444.79606533801416,868.4863329603104,8.0,7.616004967238376e-06
50,2026-07-01T15:09:51.555711,11.0,11.11,-351.7454485828057,114.35049710678868,-464.5334426840418,879.1707198513905,8.0,7.615964829482109e-06
51,2026-07-01T15:09:52.758773,10.9,10.91,-353.1067827710649,110.66292702540522,-453.6486743291607,849.9504570435965,8.0,7.5977707926156696e-06
52,2026-07-01T15:09:53.770782,10.8,10.91,-361.37478179414757,113.32575653650565,-470.7251905478188,862.3473377805203,8.0,7.585587853443159e-06
53,2026-07-01T15:09:54.822650,10.7,10.81,-359.87093662377447,117.34677082189592,-448.4741871774895,855.4430350061739,8.0,7.598665111315114e-06
54,2026-07-01T15:09:55.844722,10.6,10.7,-354.8259691215935,112.34786349901697,-455.11787594587076,867.2808947635349,8.0,7.609458621157173e-06
55,2026-07-01T15:09:56.857096,10.5,10.61,-350.0069720717147,113.83989836700493,-474.985560294881,855.243047219119,8.0,7.610086933092091e-06
56,2026-07-01T15:09:57.839285,10.4,10.51,-352.1469988639001,114.76543239725288,-447.4628316165763,869.6004381519742,8.0,7.606752125687973e-06
57,2026-07-01T15:09:58.961369,10.3,10.4,-356.1943894912838,114.74456752970582,-461.52929543401115,880.3021468198858,8.0,7.600807899934775e-06
58,2026-07-01T15:09:59.912874,10.2,10.31,-359.2859329789644,114.82920803013258,-446.2790456408402,844.3082819174742,8.0,7.601455528146255e-06
59,2026-07-01T15:10:00.824001,10.1,10.11,-355.5310441739857,111.4022519547143,-442.17929600621574,871.9030534403282,8.0,7.6025773240539155e-06
60,2026-07-01T15:10:01.805964,10.0,10.11,-357.49431010714034,113.49661224434385,-476.7697033085278,873.2061234701541,8.0,7.596716432653878e-06
61,2026-07-01T15:10:02.847615,9.9,10.01,-361.1326705952524,112.67382784484653,-458.97984482580796,856.7890158013324,8.0,7.589633328069589e-06
62,2026-07-01T15:10:03.779068,9.8,9.91,-357.5939103239216,117.17788349778857,-460.6513962900499,851.6015373170376,8.0,7.608943978755402e-06
63,2026-07-01T15:10:04.739703,9.7,9.71,-363.2931685782387,113.49070709315129,-464.26849823386874,869.3433672367246,8.0,7.586034282641269e-06
64,2026-07-01T15:10:05.771141,9.6,9.71,-348.0149677360896,115.27288172306726,-477.3094341275282,866.8761950684711,8.0,7.617951902358973e-06
65,2026-07-01T15:10:06.722631,9.5,9.61,-356.86639569699764,112.45533725072164,-441.54862585884985,856.815785820072,8.0,7.601589066597836e-06
66,2026-07-01T15:10:07.744632,9.4,9.51,-356.4424058413715,112.4939175718464,-461.2399430255755,859.0707662221394,8.0,7.593054002782732e-06
67,2026-07-01T15:10:08.676122,9.3,9.41,-355.02241381793283,110.66922585334396,-447.3120534227928,845.5885186960222,8.0,7.5966296880326425e-06
68,2026-07-01T15:10:09.618078,9.2,9.31,-353.116231012973,114.04461027501384,-461.11436014354695,859.0963552106405,8.0,7.609010813464284e-06
69,2026-07-01T15:10:10.589451,9.1,9.21,-355.7144975377014,114.93313869112171,-460.66163188545033,865.2176349368528,8.0,7.60333195847262e-06
70,2026-07-01T15:10:11.570292,9.0,9.01,-359.2890823929338,116.84168355655856,-489.65513688744977,844.9200555810239,7.0,7.591066756552907e-06
71,2026-07-01T15:10:12.721727,8.9,8.91,-356.5821610862622,116.15353660425171,-465.2763107040664,851.5767356820288,8.0,7.600180354105055e-06
72,2026-07-01T15:10:13.673810,8.8,8.91,-359.21900793211535,118.0589320557192,-465.46291348175146,862.6603107937262,8.0,7.5890067048465275e-06
73,2026-07-01T15:10:14.584640,8.7,8.81,-356.44201216462534,113.69502532441402,-464.59131316572893,864.9105670748395,8.0,7.591153437651959e-06
74,2026-07-01T15:10:15.516105,8.6,8.71,-353.0796190755791,115.27012598584406,-462.70363316783914,872.7400102026877,8.0,7.609725981597163e-06
75,2026-07-01T15:10:16.527116,8.5,8.61,-353.9094896565075,113.11474580055801,-459.16880966397,869.0898394121905,8.0,7.601141722018995e-06
76,2026-07-01T15:10:17.468661,8.4,8.51,-354.65629444399383,113.05648164212471,-457.5944963560323,856.014259964868,8.0,7.597410425283476e-06
77,2026-07-01T15:10:18.399574,8.3,8.41,-351.53168210963486,115.42877771455096,-455.9784533130005,872.3305863866699,8.0,7.606037237040451e-06
78,2026-07-01T15:10:19.400873,8.2,8.21,-353.6791887599975,114.22609525499865,-452.1137286958401,853.6750327391201,8.0,7.603645855021788e-06
79,2026-07-01T15:10:20.342055,8.1,8.11,-348.9767200269853,114.58276638702955,-469.9693311951705,872.7226884258562,8.0,7.606752125687973e-06
80,2026-07-01T15:10:21.252526,8.0,8.11,-358.79698646022007,113.06947297474835,-466.20460047153756,863.8240192554076,8.0,7.591846922078119e-06
81,2026-07-01T15:10:22.293174,8.1,8.01,-356.8860795343062,115.11344264086802,-459.2451829527272,872.5699418483418,8.0,7.595221894602769e-06
82,2026-07-01T15:10:23.283915,8.2,8.21,-353.924449372862,114.40521817450644,-464.5724166819127,866.2821368584991,8.0,7.593854383081169e-06
83,2026-07-01T15:10:24.224772,8.3,8.31,-364.4226271630032,115.64963036915287,-467.2659529792145,863.509471535217,8.0,7.582237141773063e-06
84,2026-07-01T15:10:25.176133,8.4,8.31,-355.19956835370976,111.9364712992683,-466.4959212637041,858.5255239286926,8.0,7.591866927376641e-06
85,2026-07-01T15:10:26.136821,8.5,8.51,-354.1240434831707,113.95918242109474,-464.5173019374488,860.0470845526434,8.0,7.5944814065763445e-06
86,2026-07-01T15:10:27.078033,8.6,8.51,-357.23094036395196,114.22885099222185,-451.94759710895596,856.700438533444,8.0,7.588540104140165e-06
87,2026-07-01T15:10:28.008840,8.7,8.62,-367.6212507256423,111.39083532907534,-465.10506131948205,856.2862905964721,8.0,7.5677522119508124e-06
88,2026-07-01T15:10:28.940566,8.8,8.81,-354.6877885836875,112.28448154288344,-475.61662411899306,847.2825097347959,8.0,7.588226831192264e-06
89,2026-07-01T15:10:29.851607,8.9,8.81,-362.03694608120713,112.12386143044569,-460.20181744592264,866.682506109355,8.0,7.574768321652256e-06
90,2026-07-01T15:10:30.833205,9.0,8.91,-359.08988195937127,115.66655846923823,-450.81931955442997,846.6042047011433,8.0,7.593274098954908e-06
91,2026-07-01T15:10:31.885306,9.1,9.01,-358.08521890314296,113.14781464723637,-483.91257419105386,849.3079765938455,7.0,7.588513442109187e-06
92,2026-07-01T15:10:32.806186,9.2,9.11,-367.8562757431064,113.91981474647764,-467.2561110605602,872.0164323432255,8.0,7.562741837199649e-06
93,2026-07-01T15:10:33.727700,9.3,9.31,-367.15159436746035,113.96705595601816,-460.8529587840894,862.1985279704677,8.0,7.569134968355918e-06
94,2026-07-01T15:10:34.739215,9.4,9.31,-360.5228653154336,113.4064602694707,-457.5027696741745,857.4035452021053,8.0,7.581784276443951e-06
95,2026-07-01T15:10:35.660382,9.5,9.41,-355.90228134562494,112.10378391639097,-443.1477408017963,871.2893113930477,8.0,7.590753379298781e-06
96,2026-07-01T15:10:36.590898,9.6,9.52,-360.45318453136133,114.01784025627421,-449.3217732119956,876.9405410843319,8.0,7.579866558431848e-06
97,2026-07-01T15:10:37.561530,9.7,9.71,-360.05950778519036,112.1766141144326,-459.13731552427635,862.8721088831662,7.0,7.5778561390194455e-06
98,2026-07-01T15:10:38.492707,9.8,9.71,-357.4380143324379,112.85649385506986,-464.68185881734826,867.7226000727387,8.0,7.586014292712326e-06
99,2026-07-01T15:10:39.484222,9.9,9.91,-362.5814010211616,114.5658382869442,-464.71610869426513,861.9524800041108,7.0,7.576292108716222e-06
100,2026-07-01T15:10:40.515656,10.0,10.01,-361.2362075794954,116.19684104633052,-452.10073736321647,856.6823294031201,8.0,7.575706512360777e-06
101,2026-07-01T15:10:41.617332,10.1,10.01,-354.4385912033613,112.20928928436479,-452.9164355812827,867.5174944879836,8.0,7.5874670313849995e-06
102,2026-07-01T15:10:42.659353,10.2,10.11,-350.8163714618422,113.84344145772047,-460.44038555410225,867.1836566072307,8.0,7.6065516828403626e-06
103,2026-07-01T15:10:43.609287,10.3,10.21,-359.2914444534108,114.41348538617603,-479.44749253598275,866.5384204202564,7.0,7.577450125660586e-06
104,2026-07-01T15:10:44.550349,10.4,10.41,-365.58239885722287,114.9984890309861,-463.2264358867542,869.25439629209,8.0,7.573384536126218e-06
105,2026-07-01T15:10:45.481356,10.5,10.41,-357.39116679964354,116.11220054590376,-457.81928577809595,862.6449574006256,8.0,7.580758769659e-06
106,2026-07-01T15:10:46.451976,10.6,10.62,-353.46935905428836,113.73439299903112,-459.1932176222326,866.9222552477731,8.0,7.595735608890683e-06
107,2026-07-01T15:10:47.363530,10.7,10.62,-362.0400954951765,114.55678372178227,-455.0387469198904,858.0440572681255,8.0,7.579327287642824e-06
108,2026-07-01T15:10:48.294522,10.8,10.72,-364.77181843685685,113.19544953352306,-460.7569016580237,855.4635061969748,8.0,7.568955461669388e-06
109,2026-07-01T15:10:49.235815,10.9,10.92,-365.6485365505796,114.12688871496357,-450.867741794209,867.057680048456,8.0,7.5734976244948505e-06
110,2026-07-01T15:10:50.156958,11.0,10.92,-352.7213732365635,113.02498750243103,-435.7741753460141,868.1761156843277,7.0,7.596202652030972e-06
111,2026-07-01T15:10:51.218868,11.1,11.11,-357.76988382946,113.07537812594092,-475.88786739710486,871.3133256745641,8.0,7.577230488156951e-06
112,2026-07-01T15:10:52.170064,11.2,11.11,-353.4811693566735,112.19787265872583,-472.07747017091606,862.3800129504525,8.0,7.59227371321356e-06
113,2026-07-01T15:10:53.081284,11.3,11.22,-361.17164459312335,111.28611731459387,-457.53977528831456,872.9911759667448,8.0,7.572486541382003e-06
114,2026-07-01T15:10:54.021953,11.4,11.31,-356.5998765398399,111.07707496237708,-468.0505507343332,850.9948814511881,7.0,7.582237141773063e-06
115,2026-07-01T15:10:54.942821,11.5,11.41,-357.63249064504635,112.49982272303896,-448.1844410923077,856.5201345836977,8.0,7.58704051045176e-06
116,2026-07-01T15:10:55.854693,11.6,11.52,-362.6912368333433,111.92623570386786,-465.05191495874897,843.7654016845045,8.0,7.5682441251825895e-06
117,2026-07-01T15:10:56.776206,11.7,11.61,-359.2579819299863,114.62213406164665,-462.5453751158784,868.3583880178048,8.0,7.574748361410217e-06
118,2026-07-01T15:10:57.727893,11.8,11.82,-363.11719507270027,112.69233065191656,-451.14764596073655,866.5986529624206,8.0,7.568490093788954e-06
